,latitude,longitude,generationtime_ms,utc_offset_seconds,timezone,timezone_abbreviation,elevation,daily_units,daily
time,24.217924,82.62766,1.1709928512573242,0,GMT,GMT,398.0,iso8601,"['2023-12-01', '2023-12-02', '2023-12-03', '2023-12-04', '2023-12-05', '2023-12-06', '2023-12-07', '2023-12-08', '2023-12-09', '2023-12-10', '2023-12-11', '2023-12-12', '2023-12-13', '2023-12-14', '2023-12-15', '2023-12-16', '2023-12-17', '2023-12-18', '2023-12-19', '2023-12-20', '2023-12-21', '2023-12-22', '2023-12-23', '2023-12-24', '2023-12-25', '2023-12-26', '2023-12-27', '2023-12-28', '2023-12-29', '2023-12-30', '2023-12-31']"
weather_code,24.217924,82.62766,1.1709928512573242,0,GMT,GMT,398.0,wmo code,"[63, 51, 3, 51, 51, 61, 63, 3, 3, 0, 1, 3, 2, 3, 0, 0, 1, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 3, 3, 3, 3]"
temperature_2m_max,24.217924,82.62766,1.1709928512573242,0,GMT,GMT,398.0,°C,"[20.3, 23.9, 25.7, 26.2, 23.5, 20.7, 19.3, 22.9, 24.1, 22.9, 22.7, 22.7, 22.7, 22.1, 22.3, 22.0, 21.6, 20.9, 20.1, 20.1, 21.2, 21.4, 22.8, 23.4, 23.5, 23.2, 23.5, 22.9, 23.2, 23.1, 21.0]"
temperature_2m_min,24.217924,82.62766,1.1709928512573242,0,GMT,GMT,398.0,°C,"[17.6, 16.8, 17.0, 17.4, 17.3, 16.4, 13.7, 13.0, 12.9, 12.5, 12.9, 12.2, 10.4, 10.5, 10.6, 10.4, 10.7, 10.4, 9.4, 9.5, 9.2, 12.4, 11.7, 13.3, 12.8, 11.6, 12.4, 11.7, 11.6, 11.6, 10.6]"
temperature_2m_mean,24.217924,82.62766,1.1709928512573242,0,GMT,GMT,398.0,°C,"[19.0, 20.1, 20.7, 21.4, 19.9, 18.4, 16.5, 17.2, 18.0, 17.4, 17.0, 16.8, 16.2, 16.0, 15.9, 16.0, 15.5, 14.9, 14.0, 13.9, 15.0, 16.1, 16.8, 17.6, 17.1, 16.9, 16.9, 16.1, 16.4, 16.0, 14.9]"
apparent_temperature_max,24.217924,82.62766,1.1709928512573242,0,GMT,GMT,398.0,°C,"[22.7, 26.3, 28.1, 28.1, 25.0, 20.7, 19.2, 23.7, 24.1, 21.5, 22.9, 22.5, 22.1, 21.0, 22.4, 22.1, 20.9, 18.9, 18.3, 19.0, 20.5, 21.3, 22.8, 24.7, 24.2, 23.8, 24.1, 23.4, 23.7, 24.0, 21.7]"
apparent_temperature_min,24.217924,82.62766,1.1709928512573242,0,GMT,GMT,398.0,°C,"[19.2, 18.0, 18.8, 18.5, 18.2, 16.8, 14.4, 12.9, 12.0, 11.6, 11.6, 11.3, 9.0, 9.0, 8.8, 8.5, 8.7, 8.3, 7.5, 7.8, 7.7, 11.5, 10.6, 12.8, 12.5, 11.5, 12.4, 10.8, 11.2, 11.6, 10.0]"
apparent_temperature_mean,24.217924,82.62766,1.1709928512573242,0,GMT,GMT,398.0,°C,"[21.3, 22.1, 22.8, 22.9, 21.1, 18.8, 17.0, 18.0, 17.6, 16.6, 16.6, 16.2, 15.2, 14.8, 15.0, 15.3, 14.4, 13.1, 12.3, 12.6, 14.0, 15.7, 16.7, 18.1, 17.2, 17.0, 17.2, 16.1, 16.5, 16.4, 15.1]"
sunrise,24.217924,82.62766,1.1709928512573242,0,GMT,GMT,398.0,iso8601,"['2023-12-01T00:55', '2023-12-02T00:56', '2023-12-03T00:57', '2023-12-04T00:57', '2023-12-05T00:58', '2023-12-06T00:59', '2023-12-07T00:59', '2023-12-08T01:00', '2023-12-09T01:01', '2023-12-10T01:01', '2023-12-11T01:02', '2023-12-12T01:03', '2023-12-13T01:03', '2023-12-14T01:04', '2023-12-15T01:04', '2023-12-16T01:05', '2023-12-17T01:06', '2023-12-18T01:06', '2023-12-19T01:07', '2023-12-20T01:07', '2023-12-21T01:08', '2023-12-22T01:08', '2023-12-23T01:09', '2023-12-24T01:09', '2023-12-25T01:10', '2023-12-26T01:10', '2023-12-27T01:10', '2023-12-28T01:11', '2023-12-29T01:11', '2023-12-30T01:12', '2023-12-31T01:12']"
sunset,24.217924,82.62766,1.1709928512573242,0,GMT,GMT,398.0,iso8601,"['2023-12-01T11:40', '2023-12-02T11:40', '2023-12-03T11:41', '2023-12-04T11:41', '2023-12-05T11:41', '2023-12-06T11:41', '2023-12-07T11:41', '2023-12-08T11:41', '2023-12-09T11:42', '2023-12-10T11:42', '2023-12-11T11:42', '2023-12-12T11:42', '2023-12-13T11:43', '2023-12-14T11:43', '2023-12-15T11:43', '2023-12-16T11:44', '2023-12-17T11:44', '2023-12-18T11:45', '2023-12-19T11:45', '2023-12-20T11:45', '2023-12-21T11:46', '2023-12-22T11:46', '2023-12-23T11:47', '2023-12-24T11:47', '2023-12-25T11:48', '2023-12-26T11:48', '2023-12-27T11:49', '2023-12-28T11:50', '2023-12-29T11:50', '2023-12-30T11:51', '2023-12-31T11:51']"
